Batch/Template Directives,,,,,,,,
Directives for Batch Processing and Template Files,,,,,,,,
Directive,Definition,Type,Batch,Tmplt,eTomo,Notes,Label,Choices
comparam.eraser.ccderaser.LineObjects,Objects with lines to remove,List,Y,Y,SO,Set this to 2 as a standard in batch,Line replacement objects,
comparam.eraser.ccderaser.BoundaryObjects,Objects with contours around areas to erase,List,Y,Y,SO,Set this to 3 as a standard in batch,Contour replacement objects,
comparam.eraser.ccderaser.AllSectionObjects,Objects to erase on all sections,List,Y,Y,SO,Set to 1-3 as a standard in batch,All-section replacement objects,
,,,,,,,,
Coarse alignment,,,,,,,,
comparam.xcorr.tiltxcorr.FilterRadius2,High frequency filter cutoff,Float,Y,Y,SD,,High frequency filter cutoff radius,
comparam.xcorr.tiltxcorr.FilterSigma2,High frequency filter falloff,Float,Y,Y,SD,,High frequency filter rolloff sigma,
runtime.Fiducials.any.fiducialless,Choice to use fiducialless alignment,Bool,Y,Y,SO,,Use fiducialless alignment,
comparam.prenewst.newstack.BinByFactor,Coarse aligned stack binning,Int,Y,Y,SD,,Prealigned stack binning (single-frame),
comparam.prenewst.newstack.AntialiasFilter,Filter to use for antialiased size reduction,Int,Y,Y,SD,,"Antialiasing filter (5 or 6, 0 for none)",
comparam.prenewst.newstack.ModeToOutput,0 to convert to bytes; empty not to,Int,Y,Y,SO,,0 to convert to bytes (blank not to),
comparam.preblend.blendmont.BinByFactor,Coarse aligned stack binning,Int,Y,Y,SD,,Prealigned stack binning (montage),
,,,,,,,,
Tracking choices,,,,,,,,
runtime.Fiducials.any.trackingMethod,Choice of seed and track (0); patch track (1); or RAPTOR (2),Int,Y,Y,SD,,Tracking method,0: seed and track; 1: patch tracking; 2: RAPTOR
runtime.Fiducials.any.seedingMethod,Choice of manual (0); autofidseed (1); transferfid (2); both (3),Int,Y,Y,SD,,Seeding method,0: manual; 1: auto-seeding; 2: transferfid; 3: autoseed & transferfid
,,,,,,,,
Beadtracking,,,,,,,,
comparam.track.beadtrack.LightBeads,Whether beads are light,Bool,Y,Y,SO,,Beads are lighter than background,
comparam.track.beadtrack.LocalAreaTracking,Whether to do local,Bool,Y,Y,SD,,Do local tracking,
comparam.track.beadtrack.LocalAreaTargetSize,Size of local areas,2 Int,Y,Y,SD,,Size of local tracking areas,
comparam.track.beadtrack.SobelFilterCentering,Whether to use Sobel filter,Bool,Y,Y,SD,,Use Sobel filter centering,
comparam.track.beadtrack.KernelSigmaForSobel,Sigma for Sobel filter,Float,Y,Y,SD,Needs to be 1.5 for cryo data,Sigma for Sobel filter (>= 1.5 for cryo),
comparam.track.beadtrack.RoundsOfTracking,Number of rounds of tracking in run,Int,Y,Y,SD,,# of rounds of tracking,
runtime.BeadTracking.any.numberOfRuns,Number of times to run beadtrack (fiducial as seed),Int,Y,,NE,,# of runs of beadtrack,
,,,,,,,,
Auto seed finding,,,,,,,,
comparam.autofidseed.autofidseed.TwoSurfaces,Whether beads on 2 surfaces,Bool,Y,Y,SD,Needed only if different from tiltalign,Select beads on two surfaces,
comparam.autofidseed.autofidseed.TargetNumberOfBeads,# of beads to find,Int,Y,Y,SO,,Total beads to select,
comparam.autofidseed.autofidseed.TargetDensityOfBeads,Density of beads to find per megapixel,Float,Y,Y,SD,,Density (per 1K x 1K) to select,
runtime.SeedFinding.any.rawBoundaryModel,Model drawn on raw stack with areas to in/exclude,File,Y,,NE,,,
comparam.autofidseed.autofidseed.ExcludeInsideAreas,Whether to exclude areas,Bool,Y,Y,SD,,,
comparam.autofidseed.autofidseed.MinGuessNumBeads,Minimum beads present per section,Int,Y,,SO,,,
comparam.autofidseed.autofidseed.AdjustSizes,Adjust parameters based on average bead size,Bool,Y,Y,SO,,,
,,,,,,,,
RAPTOR parameters,,,,,,,,
runtime.RAPTOR.any.useAlignedStack,Whether to use aligned stack in RAPTOR,Bool,Y,Y,SD,,,
runtime.RAPTOR.any.numberOfMarkers,Number of markers to track,Int,Y,Y,SO,,,
,,,,,,,,
Patch tracking,,,,,,,,
comparam.xcorr_pt.tiltxcorr.SizeOfPatchesXandY,Size in X and Y of patches to track,2 Int,Y,Y,SD,,,
comparam.xcorr_pt.tiltxcorr.IterateCorrelations,Number of iterations,Int,Y,Y,SD,,,
comparam.xcorr_pt.tiltxcorr.FilterRadius2,Right cutoff radius for filter,Float,Y,Y,SD,,,
comparam.xcorr_pt.tiltxcorr.FilterSigma2,Sigma for Gaussian rolloff above radius2,Float,Y,Y,SD,,,
runtime.PatchTracking.any.rawBoundaryModel,Model file drawn on raw stack with boundary contours,File,Y,,NE,,,
comparam.xcorr_pt.tiltxcorr.LengthAndOverlap,Contour length and overlap for breaking,2 Int,Y,Y,SD,,,
runtime.PatchTracking.any.contourPieces,Number of pieces to break contours into,Int,Y,,NE,,,
runtime.PatchTracking.any.adjustTiltAngles,Run again with tilt angle offset from Tiltalign,Bool,Y,,NE,,,
,,,,,,,,
Alignment,,,,,,,,
comparam.align.tiltalign.SurfacesToAnalyze,Analyze angles for 1 or 2 surfaces,Int,Y,Y,SO,,,
comparam.align.tiltalign.LocalAlignments,Whether to do local alignments,Bool,Y,Y,SD,,,
comparam.align.tiltalign.TargetPatchSizeXandY,Target minimum size for local patches,2 Int,Y,Y,SO,,,
comparam.align.tiltalign.MinFidsTotalAndEachSurface,Minimum fiducials in local area,2 Int,Y,Y,SO,,,
comparam.align.tiltalign.MagOption,Type of magnification solution (3 to group),Int,Y,Y,SO,,,
comparam.align.tiltalign.TiltOption,Type of tilt angle solution (0 to fix),Int,Y,Y,SO,,,
comparam.align.tiltalign.RotOption,Type of rotation solution (3 to group; -1 solve one),Int,Y,Y,SO,,,
comparam.align.tiltalign.BeamTiltOption,Type of beam tilt solution (2 to search),Int,Y,Y,SD,,,
comparam.align.tiltalign.RobustFitting,Whether to use robust fitting to downweight some points,Bool,Y,Y,SD,,,
comparam.align.tiltalign.KFactorScaling,Factor that determines how many points are downweighted,Float,Y,Y,SD,,,
runtime.TiltAlignment.any.enableStretching,Allow stretching solution if bead number permit,Bool,Y,,NE,,,
comparam.align.tiltalign.ResidualReportCriterion,Criterion # of SDs above mean residual error to report,Float,,Y,SO,,,
,,,,,,,,
Tomogram Positioning,,,,,,,,
runtime.Positioning.any.wholeTomogram,Whether to make a whole tomogram for positioning,Bool,,Y,SD,,,
runtime.Positioning.any.binByFactor,Binning for whole tomogram,Int,,Y,SD,,,
runtime.Positioning.any.thickness,Thickness for samples or whole tomogram,Int,,Y,SD,,,
,,,,,,,,
Aligned stack choices,,,,,,,,
runtime.AlignedStack.any.correctCTF,Whether to correct CTF,Bool,Y,,NE,,,
runtime.AlignedStack.any.eraseGold,Whether to erase gold (1 for fid-based; 2 for 3d),Int,Y,,NE,,,
runtime.AlignedStack.any.filterStack,Whether to do 2D filtering,Bool,Y,,NE,,,
,,,,,,,,
Aligned Stack Parameters,,,,,,,,
runtime.AlignedStack.any.linearInterpolation,Use linear interpolation,Bool,Y,Y,NES,Separate ones for newst and blend?,,
runtime.AlignedStack.any.binByFactor,Binning to apply,Int,Y,Y,NES,Separate ones for newst and blend?,,
comparam.newst.newstack.AntialiasFilter,Filter to use for antialiased size reduction,Int,Y,Y,SD,,,
runtime.AlignedStack.any.sizeInXandY,Size of output in X and Y,2 Int,Y,Y,NES,,,
runtime.CTFplotting.any.autoFitRangeAndStep,Range and step for autofitting,2 Float,Y,,SO,,,
comparam.ctfplotter.ctfplotter.InvertTiltAngles,Invert the sign of the tilt angles,Bool,Y,Y,SD,,,
comparam.ctfplotter.ctfplotter.FrequencyRangeToFit,Starting and ending frequencies of range to fit,2 Float,Y,Y,SO,,,
comparam.ctfplotter.ctfplotter.VaryExponentInFit,Vary exponent of CTF function when fitting,Bool,Y,Y,SO,,,
comparam.ctfcorrection.ctfphaseflip.InvertTiltAngles,Invert the sign of the tilt angles,Bool,Y,Y,SD,,,
comparam.mtffilter.mtffilter.LowPassRadiusSigma,Radius and sigma for 2D filtering,2 Float,Y,Y,SO,,,
runtime.GoldErasing.any.binning,Binning to use in finding gold,Int,Y,Y,SO,,,
runtime.GoldErasing.any.extraDiameter,Extra pixels of diameter to erase,Float,Y,,NE,,,
runtime.GoldErasing.any.thickness,Reconstruction thickness if patch or fidless alignment,Int,Y,Y,SO,,,
comparam.golderaser.ccderaser.ExpandCircleIterations,Iterations for expanding patches around circles,Int,Y,Y,SD,,,
,,,,,,,,
Reconstruction,,,,,,,,
comparam.tilt.tilt.THICKNESS,Thickness for reconstruction,Int,Y,Y,SO,Will appear in positioning,,
runtime.Reconstruction.any.extraThickness,Added thickness if derived from align.log,Int,Y,,NE,,,
runtime.Reconstruction.any.binnedThickness,Thickness in binned pixels,Int,Y,,NE,May not be entered with THICKNESS,,
comparam.tilt.tilt.RADIAL,Radius and sigma for 1D filter,2 Float,Y,Y,SO,,,
comparam.tilt.tilt.LOG,Different log base or empty for no log,Float,Y,Y,SD,,,
comparam.tilt.tilt.SCALE,Scaling values to add and multiply by,2 Float,Y,Y,SO,,,
runtime.Reconstruction.any.useSirt,Whether to do SIRT,Bool,Y,Y,SO,,,
runtime.Reconstruction.any.doBackprojAlso,Whether to do BP in addition to SIRT,Bool,Y,,NE,,,
,,,,,,,,
SIRT parameters,,,,,,,,
comparam.sirtsetup.sirtsetup.LeaveIterations,Iterations to leave,List,Y,Y,SD,,,
comparam.sirtsetup.sirtsetup.ScaleToInteger,Scaling to integer min/max,2 Int,Y,Y,SD,,,
comparam.sirtsetup.sirtsetup.RadiusAndSigma,Radius and sigma for radial filter,2 Float,Y,Y,SD,,,
,,,,,,,,
Postprocessing,,,,,,,,
runtime.Trimvol.any.reorient,Reorientation in trimvol (0 none; 1 flip; 2 rotate),Int,Y,,NE,Default is 2,,
runtime.Trimvol.any.thickness,Fraction or # of slices to trim thickness to,Float,Y,,NE,,,
runtime.Trimvol.any.sizeInX,Fraction or # of pixels to trim to in X,Float,Y,,NE,,,
runtime.Trimvol.any.sizeInY,Fraction or # of pixels to trim to in Y,Float,Y,,NE,,,
runtime.Trimvol.any.scaleFromX,Fraction or # of pixels in X to use to set scaling to bytes,Float,Y,,NE,,,
runtime.Trimvol.any.scaleFromY,Fraction or # of pixels in Y to use to set scaling to bytes,Float,Y,,NE,,,
runtime.Trimvol.any.scaleFromZ,Fraction or # of slices in Z to use to set scaling to bytes,Float,Y,,NE,,,
